complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
5,0.5030453176155647,59,0,2*x5 + x6,"add,x6,add,x5,x5",0.9759315363802612,0.9759315363802612,False
7,0.5965119219621052,4,0,x1*x2 + 2*x5,"add,add,x5,x5,mul,x2,x1",0.45753377405136075,0.45753377405136075,False
9,0.6027278919825103,1,0,x2*(x1 + x5) + 2*x5,"add,mul,add,x1,x5,x2,add,x5,x5",0.4344437670509456,0.4344437670509456,False
59,0.8919009864701432,34,0,1.49886e-5*x1*x3*x5 + 1.33074e-5*x1*x3*x6 + 1.49539e-5*x1*x4*x5 + 1.32919e-5*x1*x4*x6 + 0.00174532*x1*x5**2 - 0.000336632*x1*x5*x6 + 6.90894e-6*x1*x5 + 0.00214239*x1*x6**2 + 6.13593e-6*x1*x6 - 2*x1 + 7.46779e-5*x2**2*x5 + 6.6323e-5*x2**2*x6 - 3.14367e-6*x2*x3**2 + 0.00694651*x2*x3*x5 + 0.0061693*x2*x3*x6 + 0.00694618*x2*x4*x5 + 0.00616916*x2*x4*x6 + 0.0173999*x2*x5**2 - 0.00303584*x2*x5*x6 + 0.00074537*x2*x5 + 0.0211544*x2*x6**2 + 0.000661979*x2*x6 + 6.80644e-6*x3**3 - 4.88011e-5*x3**2*x4 - 0.000393509*x3**2*x5 - 0.00040319*x3**2*x6 + 1.69614e-5*x3**2 + 9.74902e-5*x3*x4**2 - 0.000827774*x3*x4*x5 - 0.000597008*x3*x4*x6 + 9.35037e-6*x3*x4 + 21.7879*x3*x5**2 - 4.21122*x3*x5*x6 + 0.0675866*x3*x5 + 26.7503*x3*x6**2 + 0.0600245*x3*x6 + 1.96702e-6*x3 - 5.56667e-5*x4**3 + 1.38817e-5*x4**2*x5 - 6.79406e-5*x4**2*x6 - 7.33859e-6*x4**2 + 11.1659*x4*x5**2 - 2.06105*x4*x5*x6 + 0.0675823*x4*x5 + 13.2287*x4*x6**2 + 0.0600226*x4*x6 - 5.65931e-6*x4 + 0.000291258*x5**3 + 2.48572e-5*x5**2*x6 + 0.228182*x5**2 + 4.64369e-5*x5*x6**2 - 0.0409196*x5*x6 + 0.00744567*x5 + 0.000347882*x6**3 + 0.278125*x6**2 + 0.00660373*x6,"sub,sub,0.00660373*x6+0.00744567*x5-5.65931e-06*x4+1.96702e-06*x3+0.278125*x6**2-0.0409196*x5*x6+0.228182*x5**2+0.0600226*x4*x6+0.0675823*x4*x5-7.33859e-06*x4**2+0.0600245*x3*x6+0.0675866*x3*x5+9.35037e-06*x3*x4+1.69614e-05*x3**2+0.000661979*x2*x6+0.00074537*x2*x5+6.13593e-06*x1*x6+6.90894e-06*x1*x5+0.000347882*x6**3+4.64369e-05*x5*x6**2+2.48572e-05*x5**2*x6+0.000291258*x5**3+13.2287*x4*x6**2-2.06105*x4*x5*x6+11.1659*x4*x5**2-6.79406e-05*x4**2*x6+1.38817e-05*x4**2*x5-5.56667e-05*x4**3+26.7503*x3*x6**2-4.21122*x3*x5*x6+21.7879*x3*x5**2-0.000597008*x3*x4*x6-0.000827774*x3*x4*x5+9.74902e-05*x3*x4**2-0.00040319*x3**2*x6-0.000393509*x3**2*x5-4.88011e-05*x3**2*x4+6.80644e-06*x3**3+0.0211544*x2*x6**2-0.00303584*x2*x5*x6+0.0173999*x2*x5**2+0.00616916*x2*x4*x6+0.00694618*x2*x4*x5+0.0061693*x2*x3*x6+0.00694651*x2*x3*x5-3.14367e-06*x2*x3**2+6.6323e-05*x2**2*x6+7.46779e-05*x2**2*x5+0.00214239*x1*x6**2-0.000336632*x1*x5*x6+0.00174532*x1*x5**2+1.32919e-05*x1*x4*x6+1.49539e-05*x1*x4*x5+1.33074e-05*x1*x3*x6+1.49886e-05*x1*x3*x5,x1,x1",0.014689606864567063,0.014689606864567063,False
60,0.8963966781384316,70,0,1.49886e-5*x1*x3*x5 + 1.33074e-5*x1*x3*x6 + 1.49539e-5*x1*x4*x5 + 1.32919e-5*x1*x4*x6 + 0.00174532*x1*x5**2 - 0.000336632*x1*x5*x6 + 6.90894e-6*x1*x5 + 0.00214239*x1*x6**2 + 6.13593e-6*x1*x6 + 2*x1 + 7.46779e-5*x2**2*x5 + 6.6323e-5*x2**2*x6 - 4.62636e-6*x2*x3**2 - 1.47888e-6*x2*x3*x4 + 0.00694651*x2*x3*x5 + 0.0061693*x2*x3*x6 - 1.45552e-6*x2*x4**2 + 0.00694618*x2*x4*x5 + 0.00616916*x2*x4*x6 + 0.0173999*x2*x5**2 - 0.00303584*x2*x5*x6 + 0.00074537*x2*x5 + 0.0211544*x2*x6**2 + 0.000661979*x2*x6 + 6.91633e-6*x3**3 - 4.863e-5*x3**2*x4 - 0.000393509*x3**2*x5 - 0.00040319*x3**2*x6 + 2.53546e-6*x3**2 + 9.75845e-5*x3*x4**2 - 0.000827774*x3*x4*x5 - 0.000597008*x3*x4*x6 - 5.07492e-6*x3*x4 + 21.7879*x3*x5**2 - 4.21122*x3*x5*x6 + 0.0675866*x3*x5 + 26.7503*x3*x6**2 + 0.0600245*x3*x6 - 5.56375e-5*x4**3 + 1.38817e-5*x4**2*x5 - 6.79406e-5*x4**2*x6 - 2.17646e-5*x4**2 + 11.1659*x4*x5**2 - 2.06105*x4*x5*x6 + 0.0675823*x4*x5 + 13.2287*x4*x6**2 + 0.0600226*x4*x6 - 7.24627e-6*x4 + 0.000291258*x5**3 + 2.48572e-5*x5**2*x6 + 0.228182*x5**2 + 4.64369e-5*x5*x6**2 - 0.0409196*x5*x6 + 0.00744567*x5 + 0.000347882*x6**3 + 0.278125*x6**2 + 0.00660373*x6,"add,x1,add,0.00660373*x6+0.00744567*x5-7.24627e-06*x4+0.278125*x6**2-0.0409196*x5*x6+0.228182*x5**2+0.0600226*x4*x6+0.0675823*x4*x5-2.17646e-05*x4**2+0.0600245*x3*x6+0.0675866*x3*x5-5.07492e-06*x3*x4+2.53546e-06*x3**2+0.000661979*x2*x6+0.00074537*x2*x5+6.13593e-06*x1*x6+6.90894e-06*x1*x5+0.000347882*x6**3+4.64369e-05*x5*x6**2+2.48572e-05*x5**2*x6+0.000291258*x5**3+13.2287*x4*x6**2-2.06105*x4*x5*x6+11.1659*x4*x5**2-6.79406e-05*x4**2*x6+1.38817e-05*x4**2*x5-5.56375e-05*x4**3+26.7503*x3*x6**2-4.21122*x3*x5*x6+21.7879*x3*x5**2-0.000597008*x3*x4*x6-0.000827774*x3*x4*x5+9.75845e-05*x3*x4**2-0.00040319*x3**2*x6-0.000393509*x3**2*x5-4.863e-05*x3**2*x4+6.91633e-06*x3**3+0.0211544*x2*x6**2-0.00303584*x2*x5*x6+0.0173999*x2*x5**2+0.00616916*x2*x4*x6+0.00694618*x2*x4*x5-1.45552e-06*x2*x4**2+0.0061693*x2*x3*x6+0.00694651*x2*x3*x5-1.47888e-06*x2*x3*x4-4.62636e-06*x2*x3**2+6.6323e-05*x2**2*x6+7.46779e-05*x2**2*x5+0.00214239*x1*x6**2-0.000336632*x1*x5*x6+0.00174532*x1*x5**2+1.32919e-05*x1*x4*x6+1.49539e-05*x1*x4*x5+1.33074e-05*x1*x3*x6+1.49886e-05*x1*x3*x5,x1",0.013358167478632534,0.013358167478632534,False
62,0.8963967040463581,4,0,3.00145e-6*x1*x3*x5 + 1.33074e-5*x1*x3*x6 + 2.97466e-6*x1*x4*x5 + 1.32919e-5*x1*x4*x6 + 0.00174532*x1*x5**2 - 0.000336637*x1*x5*x6 + 1.37879e-6*x1*x5 + 0.00214239*x1*x6**2 + 6.13594e-6*x1*x6 + 2*x1 + 1.49021e-5*x2**2*x5 + 6.63231e-5*x2**2*x6 - 4.62633e-6*x2*x3**2 - 1.47887e-6*x2*x3*x4 + 0.00138628*x2*x3*x5 + 0.00616931*x2*x3*x6 - 1.45551e-6*x2*x4**2 + 0.00138603*x2*x4*x5 + 0.00616916*x2*x4*x6 + 0.017399*x2*x5**2 - 0.00303625*x2*x5*x6 + 0.00014874*x2*x5 + 0.0211544*x2*x6**2 + 0.000661979*x2*x6 + 6.91642e-6*x3**3 - 4.86307e-5*x3**2*x4 + 5.22446e-5*x3**2*x5 - 0.00040319*x3**2*x6 + 2.5353e-6*x3**2 + 9.75858e-5*x3*x4**2 - 0.000282629*x3*x4*x5 - 0.000597008*x3*x4*x6 - 5.07496e-6*x3*x4 + 21.7879*x3*x5**2 - 4.21126*x3*x5*x6 + 0.0134883*x3*x5 + 26.7503*x3*x6**2 + 0.0600246*x3*x6 - 5.56383e-5*x4**3 + 1.38816e-5*x4**2*x5 - 6.79407e-5*x4**2*x6 - 2.17644e-5*x4**2 + 11.1659*x4*x5**2 - 2.06109*x4*x5*x6 + 0.0134849*x4*x5 + 13.2287*x4*x6**2 + 0.0600226*x4*x6 - 7.2462e-6*x4 + 0.000291248*x5**3 + 2.48512e-5*x5**2*x6 + 0.228174*x5**2 + 4.6434e-5*x5*x6**2 - 0.0409237*x5*x6 + 1.00149441*x5 + 0.000347882*x6**3 + 0.278125*x6**2 + 0.00660373*x6,"add,0.00660373*x6+0.00149441*x5-7.2462e-06*x4+0.278125*x6**2-0.0409237*x5*x6+0.228174*x5**2+0.0600226*x4*x6+0.0134849*x4*x5-2.17644e-05*x4**2+0.0600246*x3*x6+0.0134883*x3*x5-5.07496e-06*x3*x4+2.5353e-06*x3**2+0.000661979*x2*x6+0.00014874*x2*x5+6.13594e-06*x1*x6+1.37879e-06*x1*x5+0.000347882*x6**3+4.6434e-05*x5*x6**2+2.48512e-05*x5**2*x6+0.000291248*x5**3+13.2287*x4*x6**2-2.06109*x4*x5*x6+11.1659*x4*x5**2-6.79407e-05*x4**2*x6+1.38816e-05*x4**2*x5-5.56383e-05*x4**3+26.7503*x3*x6**2-4.21126*x3*x5*x6+21.7879*x3*x5**2-0.000597008*x3*x4*x6-0.000282629*x3*x4*x5+9.75858e-05*x3*x4**2-0.00040319*x3**2*x6+5.22446e-05*x3**2*x5-4.86307e-05*x3**2*x4+6.91642e-06*x3**3+0.0211544*x2*x6**2-0.00303625*x2*x5*x6+0.017399*x2*x5**2+0.00616916*x2*x4*x6+0.00138603*x2*x4*x5-1.45551e-06*x2*x4**2+0.00616931*x2*x3*x6+0.00138628*x2*x3*x5-1.47887e-06*x2*x3*x4-4.62633e-06*x2*x3**2+6.63231e-05*x2**2*x6+1.49021e-05*x2**2*x5+0.00214239*x1*x6**2-0.000336637*x1*x5*x6+0.00174532*x1*x5**2+1.32919e-05*x1*x4*x6+2.97466e-06*x1*x4*x5+1.33074e-05*x1*x3*x6+3.00145e-06*x1*x3*x5,add,x1,add,x1,x5",0.01335816002555669,0.01335816002555669,False
63,0.8973515868776892,2,0,x2*(5.30328e-6*x1*x2*x6 - 3.74135e-6*x1*x3**2 - 2.19295e-6*x1*x3*x4 + 0.000112645*x1*x3*x6 - 1.39423e-6*x1*x4**2 + 0.000112438*x1*x4*x6 + 0.0232011*x1*x5**2 - 0.00448059*x1*x5*x6 + 0.0285409*x1*x6**2 + 5.1904e-5*x1*x6 + 0.00056102*x2**2*x6 - 5.11319e-5*x2*x3**2 - 9.01816e-6*x2*x3*x4 - 3.90923e-5*x2*x3*x5 + 0.0521862*x2*x3*x6 - 8.71101e-6*x2*x4**2 - 4.23626e-5*x2*x4*x5 + 0.0521842*x2*x4*x6 + 0.23129*x2*x5**2 - 0.0404186*x2*x5*x6 - 4.37108e-6*x2*x5 + 0.281812*x2*x6**2 + 0.00559961*x2*x6 + 9.10702e-5*x3**3 - 0.000647316*x3**2*x4 + 0.00241982*x3**2*x5 - 0.00242334*x3**2*x6 + 0.000138439*x3**2 + 0.00129581*x3*x4**2 - 0.00194059*x3*x4*x5 - 0.00501184*x3*x4*x6 + 3.67626e-5*x3*x4 + 289.634*x3*x5**2 - 56.0511*x3*x5*x6 - 0.000373818*x3*x5 + 356.369*x3*x6**2 + 0.507751*x3*x6 + 1.65924e-5*x3 - 0.000739391*x4**3 + 0.000177072*x4**2*x5 - 0.000905153*x4**2*x6 - 0.000186502*x4**2 + 148.43*x4*x5**2 - 27.4324*x4*x5*x6 - 0.000417421*x4*x5 + 176.227*x4*x6**2 + 0.507725*x4*x6 - 8.51545e-5*x4 + 0.00387117*x5**3 + 0.000329845*x5**2*x6 + 3.03318*x5**2 + 0.000618661*x5*x6**2 - 0.544752*x5*x6 + 1.0000997749*x5 + 0.00463468*x6**3 + 3.70511*x6**2 + 0.0558634*x6) + x5,"add,x5,mul,x2,add,x5,0.0558634*x6+9.97749e-05*x5-8.51545e-05*x4+1.65924e-05*x3+3.70511*x6**2-0.544752*x5*x6+3.03318*x5**2+0.507725*x4*x6-0.000417421*x4*x5-0.000186502*x4**2+0.507751*x3*x6-0.000373818*x3*x5+3.67626e-05*x3*x4+0.000138439*x3**2+0.00559961*x2*x6-4.37108e-06*x2*x5+5.1904e-05*x1*x6+0.00463468*x6**3+0.000618661*x5*x6**2+0.000329845*x5**2*x6+0.00387117*x5**3+176.227*x4*x6**2-27.4324*x4*x5*x6+148.43*x4*x5**2-0.000905153*x4**2*x6+0.000177072*x4**2*x5-0.000739391*x4**3+356.369*x3*x6**2-56.0511*x3*x5*x6+289.634*x3*x5**2-0.00501184*x3*x4*x6-0.00194059*x3*x4*x5+0.00129581*x3*x4**2-0.00242334*x3**2*x6+0.00241982*x3**2*x5-0.000647316*x3**2*x4+9.10702e-05*x3**3+0.281812*x2*x6**2-0.0404186*x2*x5*x6+0.23129*x2*x5**2+0.0521842*x2*x4*x6-4.23626e-05*x2*x4*x5-8.71101e-06*x2*x4**2+0.0521862*x2*x3*x6-3.90923e-05*x2*x3*x5-9.01816e-06*x2*x3*x4-5.11319e-05*x2*x3**2+0.00056102*x2**2*x6+0.0285409*x1*x6**2-0.00448059*x1*x5*x6+0.0232011*x1*x5**2+0.000112438*x1*x4*x6-1.39423e-06*x1*x4**2+0.000112645*x1*x3*x6-2.19295e-06*x1*x3*x4-3.74135e-06*x1*x3**2+5.30328e-06*x1*x2*x6",0.013085165182336999,0.013085165182336999,False
65,0.897351883909151,1,0,x2*(5.30328e-6*x1*x2*x6 - 3.74215e-6*x1*x3**2 - 2.19375e-6*x1*x3*x4 + 0.000112645*x1*x3*x6 - 1.39503e-6*x1*x4**2 + 0.000112438*x1*x4*x6 + 0.0232011*x1*x5**2 - 0.00448059*x1*x5*x6 + 0.0285409*x1*x6**2 + 5.1904e-5*x1*x6 + x1 + 0.00056102*x2**2*x6 - 5.15025e-5*x2*x3**2 - 9.38882e-6*x2*x3*x4 - 3.90923e-5*x2*x3*x5 + 0.0521862*x2*x3*x6 - 9.08168e-6*x2*x4**2 - 4.23626e-5*x2*x4*x5 + 0.0521842*x2*x4*x6 + 0.23129*x2*x5**2 - 0.0404186*x2*x5*x6 - 4.37108e-6*x2*x5 + 0.281812*x2*x6**2 + 0.00559961*x2*x6 + 9.10977e-5*x3**3 - 0.000647273*x3**2*x4 + 0.00241982*x3**2*x5 - 0.00242334*x3**2*x6 + 0.000134832*x3**2 + 0.00129583*x3*x4**2 - 0.00194059*x3*x4*x5 - 0.00501184*x3*x4*x6 + 3.31563e-5*x3*x4 + 289.634*x3*x5**2 - 56.0511*x3*x5*x6 - 0.000373818*x3*x5 + 356.369*x3*x6**2 + 0.507751*x3*x6 + 1.61957e-5*x3 - 0.000739383*x4**3 + 0.000177072*x4**2*x5 - 0.000905153*x4**2*x6 - 0.000190109*x4**2 + 148.43*x4*x5**2 - 27.4324*x4*x5*x6 - 0.000417421*x4*x5 + 176.227*x4*x6**2 + 0.507725*x4*x6 - 8.55512e-5*x4 + 0.00387117*x5**3 + 0.000329845*x5**2*x6 + 3.03318*x5**2 + 0.000618661*x5*x6**2 - 0.544752*x5*x6 + 1.0000997749*x5 + 0.00463468*x6**3 + 3.70511*x6**2 + 0.0558634*x6) + x5,"add,x5,mul,x2,add,x5,add,x1,0.0558634*x6+9.97749e-05*x5-8.55512e-05*x4+1.61957e-05*x3+3.70511*x6**2-0.544752*x5*x6+3.03318*x5**2+0.507725*x4*x6-0.000417421*x4*x5-0.000190109*x4**2+0.507751*x3*x6-0.000373818*x3*x5+3.31563e-05*x3*x4+0.000134832*x3**2+0.00559961*x2*x6-4.37108e-06*x2*x5+5.1904e-05*x1*x6+0.00463468*x6**3+0.000618661*x5*x6**2+0.000329845*x5**2*x6+0.00387117*x5**3+176.227*x4*x6**2-27.4324*x4*x5*x6+148.43*x4*x5**2-0.000905153*x4**2*x6+0.000177072*x4**2*x5-0.000739383*x4**3+356.369*x3*x6**2-56.0511*x3*x5*x6+289.634*x3*x5**2-0.00501184*x3*x4*x6-0.00194059*x3*x4*x5+0.00129583*x3*x4**2-0.00242334*x3**2*x6+0.00241982*x3**2*x5-0.000647273*x3**2*x4+9.10977e-05*x3**3+0.281812*x2*x6**2-0.0404186*x2*x5*x6+0.23129*x2*x5**2+0.0521842*x2*x4*x6-4.23626e-05*x2*x4*x5-9.08168e-06*x2*x4**2+0.0521862*x2*x3*x6-3.90923e-05*x2*x3*x5-9.38882e-06*x2*x3*x4-5.15025e-05*x2*x3**2+0.00056102*x2**2*x6+0.0285409*x1*x6**2-0.00448059*x1*x5*x6+0.0232011*x1*x5**2+0.000112438*x1*x4*x6-1.39503e-06*x1*x4**2+0.000112645*x1*x3*x6-2.19375e-06*x1*x3*x4-3.74215e-06*x1*x3**2+5.30328e-06*x1*x2*x6",0.013085080791374819,0.013085080791374819,False
66,0.8976071662840727,30,0,(x2 + x6)*(6.1248e-6*x1*x2*x5 + 5.23488e-6*x1*x2*x6 - 3.51914e-6*x1*x3**2 - 2.06507e-6*x1*x3*x4 + 0.000130151*x1*x3*x5 + 0.000111195*x1*x3*x6 - 1.31219e-6*x1*x4**2 + 0.000129689*x1*x4*x5 + 0.000110988*x1*x4*x6 + 0.0231985*x1*x5**2 - 0.00442449*x1*x5*x6 + 5.99445e-5*x1*x5 + 0.0279192*x1*x6**2 + 5.12345e-5*x1*x6 + 0.000647922*x2**2*x5 + 0.000553784*x2**2*x6 - 4.79475e-5*x2*x3**2 - 8.59183e-6*x2*x3*x4 + 0.0602704*x2*x3*x5 + 0.0515131*x2*x3*x6 - 8.24617e-6*x2*x4**2 + 0.060266*x2*x4*x5 + 0.0515112*x2*x4*x6 + 0.23126*x2*x5**2 - 0.0398749*x2*x5*x6 + 0.006467*x2*x5 + 0.27571*x2*x6**2 + 0.00552739*x2*x6 + 9.17039e-5*x3**3 - 0.000651183*x3**2*x4 - 0.00208289*x3**2*x5 - 0.00235358*x3**2*x6 + 0.000130484*x3**2 + 0.00130348*x3*x4**2 - 0.00786068*x3*x4*x5 - 0.0049434*x3*x4*x6 + 3.3905e-5*x3*x4 + 289.601*x3*x5**2 - 55.3504*x3*x5*x6 + 0.586409*x3*x5 + 348.604*x3*x6**2 + 0.501202*x3*x6 + 1.5531e-5*x3 - 0.000743842*x4**3 + 0.000185143*x4**2*x5 - 0.000884774*x4**2*x6 - 0.000175138*x4**2 + 148.426*x4*x5**2 - 27.0944*x4*x5*x6 + 0.586351*x4*x5 + 172.454*x4*x6**2 + 0.501176*x4*x6 - 8.25068e-5*x4 + 0.00387553*x5**3 + 0.000334665*x5**2*x6 + 3.0328*x5**2 + 0.000604177*x5*x6**2 - 0.537568*x5*x6 + 0.064646*x5 + 0.00453152*x6**3 + 3.62475*x6**2 + 0.0551423*x6),"mul,add,x2,x6,0.0551423*x6+0.064646*x5-8.25068e-05*x4+1.5531e-05*x3+3.62475*x6**2-0.537568*x5*x6+3.0328*x5**2+0.501176*x4*x6+0.586351*x4*x5-0.000175138*x4**2+0.501202*x3*x6+0.586409*x3*x5+3.3905e-05*x3*x4+0.000130484*x3**2+0.00552739*x2*x6+0.006467*x2*x5+5.12345e-05*x1*x6+5.99445e-05*x1*x5+0.00453152*x6**3+0.000604177*x5*x6**2+0.000334665*x5**2*x6+0.00387553*x5**3+172.454*x4*x6**2-27.0944*x4*x5*x6+148.426*x4*x5**2-0.000884774*x4**2*x6+0.000185143*x4**2*x5-0.000743842*x4**3+348.604*x3*x6**2-55.3504*x3*x5*x6+289.601*x3*x5**2-0.0049434*x3*x4*x6-0.00786068*x3*x4*x5+0.00130348*x3*x4**2-0.00235358*x3**2*x6-0.00208289*x3**2*x5-0.000651183*x3**2*x4+9.17039e-05*x3**3+0.27571*x2*x6**2-0.0398749*x2*x5*x6+0.23126*x2*x5**2+0.0515112*x2*x4*x6+0.060266*x2*x4*x5-8.24617e-06*x2*x4**2+0.0515131*x2*x3*x6+0.0602704*x2*x3*x5-8.59183e-06*x2*x3*x4-4.79475e-05*x2*x3**2+0.000553784*x2**2*x6+0.000647922*x2**2*x5+0.0279192*x1*x6**2-0.00442449*x1*x5*x6+0.0231985*x1*x5**2+0.000110988*x1*x4*x6+0.000129689*x1*x4*x5-1.31219e-06*x1*x4**2+0.000111195*x1*x3*x6+0.000130151*x1*x3*x5-2.06507e-06*x1*x3*x4-3.51914e-06*x1*x3**2+5.23488e-06*x1*x2*x6+6.1248e-06*x1*x2*x5",0.01301267256952213,0.01301267256952213,False
67,0.8979998777245836,1,0,x3*x6 + (x2 - x6)*(6.15097e-6*x1*x2*x5 - 4.32658e-5*x1*x2*x6 + 0.000130706*x1*x3*x5 - 0.000927564*x1*x3*x6 + 0.000130239*x1*x4*x5 - 0.000917048*x1*x4*x6 + 0.0233372*x1*x5**2 - 0.00350816*x1*x5*x6 + 6.02005e-5*x1*x5 + 0.0175824*x1*x6**2 - 0.000423471*x1*x6 + 0.00065069*x2**2*x5 - 0.00457634*x2**2*x6 + 4.85893e-6*x2*x3**2 - 2.30547e-6*x2*x3*x4 + 0.0605278*x2*x3*x5 - 0.425768*x2*x3*x6 - 1.30264e-6*x2*x4**2 + 0.0605234*x2*x4*x5 - 0.425669*x2*x4*x6 + 0.232423*x2*x5**2 - 0.0310672*x2*x5*x6 + 0.00649463*x2*x5 + 0.174219*x2*x6**2 - 0.0456772*x2*x6 + 0.000103309*x3**3 - 0.000722136*x3**2*x4 - 0.00209949*x3**2*x5 - 0.0891181*x3**2*x6 - 1.21741e-5*x3**2 + 0.00144467*x3*x4**2 - 0.00794264*x3*x4*x5 + 0.0423334*x3*x4*x6 - 2.29615e-5*x3*x4 + 291.339*x3*x5**2 - 43.9023*x3*x5*x6 + 0.588914*x3*x5 + 219.522*x3*x6**2 - 4.14285*x3*x6 - 3.31558e-6*x3 - 0.00082557*x4**3 + 0.0001995*x4**2*x5 - 0.000962954*x4**2*x6 + 7.84169e-6*x4**2 + 149.509*x4*x5**2 - 21.5812*x4*x5*x6 + 0.588855*x4*x5 + 109.759*x4*x6**2 - 4.14153*x4*x6 - 3.91553e-5*x4 + 0.00397848*x5**3 + 0.000417808*x5**2*x6 + 3.04882*x5**2 + 0.000362042*x5*x6**2 - 0.420931*x5*x6 + 0.0648492*x5 + 0.00281508*x6**3 + 2.2884*x6**2 - 0.455627*x6),"add,mul,-0.455627*x6+0.0648492*x5-3.91553e-05*x4-3.31558e-06*x3+2.2884*x6**2-0.420931*x5*x6+3.04882*x5**2-4.14153*x4*x6+0.588855*x4*x5+7.84169e-06*x4**2-4.14285*x3*x6+0.588914*x3*x5-2.29615e-05*x3*x4-1.21741e-05*x3**2-0.0456772*x2*x6+0.00649463*x2*x5-0.000423471*x1*x6+6.02005e-05*x1*x5+0.00281508*x6**3+0.000362042*x5*x6**2+0.000417808*x5**2*x6+0.00397848*x5**3+109.759*x4*x6**2-21.5812*x4*x5*x6+149.509*x4*x5**2-0.000962954*x4**2*x6+0.0001995*x4**2*x5-0.00082557*x4**3+219.522*x3*x6**2-43.9023*x3*x5*x6+291.339*x3*x5**2+0.0423334*x3*x4*x6-0.00794264*x3*x4*x5+0.00144467*x3*x4**2-0.0891181*x3**2*x6-0.00209949*x3**2*x5-0.000722136*x3**2*x4+0.000103309*x3**3+0.174219*x2*x6**2-0.0310672*x2*x5*x6+0.232423*x2*x5**2-0.425669*x2*x4*x6+0.0605234*x2*x4*x5-1.30264e-06*x2*x4**2-0.425768*x2*x3*x6+0.0605278*x2*x3*x5-2.30547e-06*x2*x3*x4+4.85893e-06*x2*x3**2-0.00457634*x2**2*x6+0.00065069*x2**2*x5+0.0175824*x1*x6**2-0.00350816*x1*x5*x6+0.0233372*x1*x5**2-0.000917048*x1*x4*x6+0.000130239*x1*x4*x5-0.000927564*x1*x3*x6+0.000130706*x1*x3*x5-4.32658e-05*x1*x2*x6+6.15097e-06*x1*x2*x5,sub,x2,x6,mul,x3,x6",0.012901756163797734,0.012901756163797734,False
