gamma1,lambda1,delta,epsilon,NRow,NCol,FValue,W1
0.0159770447031095,0.0156365029195168,90.3058251787597,29.040493016349,2.38234973220998e-05,8.76305018935439e-06,2.38948326063678e-11,1.88250763811907e-06
0.000103123659791159,0.0145931478846993,79.2276054671561,30.8961854539767,0.000111349924226956,4.48789283237536e-06,1.69572321579186e-10,1.94483942584248e-06
0.00856823657916407,0.0737356727683842,39.8365034651622,59.9881196289705,0.000116386308636047,3.76699994142214e-05,1.52013774116135e-10,4.00452393462864e-06
0.000603215528655695,0.0220428945697058,73.5275985276598,87.2435590524148,1.52522861167696e-05,0.000117276100872246,-1.6199319575063e-10,2.51406431928489e-06
0.000598277289977954,0.0106846846714994,22.9917997366616,89.9714733412073,1.85966271508999e-05,4.63540606207001e-05,-3.55915104308889e-11,1.37943900830588e-06
0.0033626769440848,0.0157140992306966,73.4099185368659,82.9056882671306,2.33597322981272e-05,5.94446517000824e-05,-5.09346224756964e-11,1.92343858884237e-06
0.000759116895621338,0.0807362607504787,30.5393845406069,55.0048681599628,9.59173534056284e-05,8.52049807948191e-05,3.24287972713021e-11,4.75971138884013e-06
0.000843699581955349,0.0124950102372288,95.2003678921408,26.692074729428,5.65356640940989e-05,0.000123926583529142,-7.12772496068717e-11,1.82089303554724e-06
0.00169307903938629,0.0132773212408539,47.6853828313285,84.0059434794293,0.000131256959318962,1.72479551964596e-05,1.70960157498025e-10,1.70430939812402e-06
0.00675171317381333,0.0377032903277649,45.8642316438374,12.6150792869691,0.000130700941310098,0.000157138612921938,-2.0360770486819e-11,3.50612246599239e-06
0.0380670024411742,0.0411789623630613,65.7907704197206,93.8715457608233,6.00212733808286e-05,3.65014378094973e-05,3.00557001530581e-11,2.54082147119074e-06
0.0011717455993757,0.040429203355085,75.9070167284704,65.5425482126421,7.77553964433255e-05,9.45387473606401e-05,-1.0029057096675e-11,3.7681538550442e-06
0.000959234007976935,0.0745966406240566,67.9066505870128,31.9608530997004,4.95341428135559e-05,9.81855665200823e-05,-8.5199965505661e-11,4.79120128566467e-06
0.000109486634868587,0.0130359018160046,69.4841983963644,27.5269197563793,0.00015106944954355,2.8948798076841e-05,1.95328098027874e-10,1.83724346828203e-06
0.000225250940184738,0.0262435995887151,44.0872443969994,66.9283004714263,5.06962295358916e-05,0.000142683902594371,-1.47108974838106e-10,2.80740597232218e-06
0.0372723015881064,0.0165443923522657,64.8694550987622,22.5691059521821,8.40484497562631e-05,9.10382708970965e-05,-1.2656731408414e-11,1.73151227189457e-06
0.0338082090820766,0.0316711534930531,88.4852965165386,90.6286965989074,3.11452227815034e-05,0.000149139837996013,-2.31392361550057e-10,2.02890674807519e-06
0.0221025737217212,0.0100631304091036,60.9583669410148,22.5191546480583,2.19761619289816e-05,0.000135572544903973,-1.42286664983838e-10,1.29954364723491e-06
0.00434712062775559,0.0338935376507507,24.5276573926094,49.5490206915145,5.4017445462792e-05,6.15181012791188e-05,-1.17371917023053e-11,3.05616194961549e-06
0.000219000164334206,0.0490958708954761,30.7387253408653,64.9102044982163,9.39592342979514e-05,7.33179238255371e-05,4.97485589505559e-11,3.89700115545918e-06
0.00406879721677619,0.0116004276390652,48.7266302049273,72.5798019406459,4.68251490028466e-05,7.42757445080653e-05,-3.31320698694863e-11,1.49570162647188e-06
0.000130740084189116,0.0755033061308817,58.6171170952831,89.1264383870015,6.44521268695795e-05,0.000121782787898367,-9.76751687640544e-11,4.86521932573934e-06
0.00118872724125557,0.0215530912521205,27.3639506502489,87.8826016017642,6.52245418490987e-06,0.000116594186408142,-1.79366432866263e-10,2.33710276771078e-06
0.0209198978608804,0.0167735596549892,86.8981769755543,86.3176716029299,1.74447718998322e-05,8.96727832907925e-05,-1.11601170521783e-10,1.84020092195273e-06
0.000298071821775497,0.0710903621788496,39.6964858126016,35.6939068178279,6.22990786275846e-05,0.000123767985046822,-1.11180170136047e-10,4.60200208978622e-06
0.00493768405627248,0.0185640066080474,89.7318419497233,28.2404037572489,0.000128899858582596,2.28566052721263e-05,1.90631305315913e-10,2.3703175616621e-06
0.0193639080826074,0.0512833453946597,47.0503424472832,73.5463950322016,5.97902884971615e-05,5.57965071870933e-05,2.67753543168617e-12,3.36783914828818e-06
0.000139802260428873,0.0181610803158265,33.2952515958556,27.8297107319024,8.54170221715979e-06,9.51662321276748e-06,-8.24526060053479e-13,2.04717784247037e-06
0.00244241736377427,0.0228644861215545,89.768628341411,84.8445795516588,8.25998422933481e-05,3.67037282293063e-06,1.41470318087033e-10,2.6046474713531e-06
0.000150119045982084,0.0101861461584472,73.5220196866248,57.1593643818223,0.000117174100811941,7.53914404252831e-05,7.41177364019476e-11,1.51679049607396e-06
0.000165064919368323,0.0130842480288907,26.7397385545631,99.177374335543,0.000139843777279338,4.71175322200371e-05,1.40007436176522e-10,1.68332927084234e-06
0.00010257437686036,0.07498570538416,17.72391861943,65.7810633368191,0.000133023207413035,6.04873956389978e-05,1.5545245718872e-10,4.59631990037894e-06
0.00020313407617206,0.0721739182091326,63.4831169872433,85.658566535659,6.54847313555819e-05,8.66279385989168e-05,-2.71772918428624e-11,4.77750493372323e-06
0.00116021344652893,0.0331092589899682,71.4342039669826,31.2851776946203,9.12380847575063e-05,7.89529825603559e-07,1.74636804007383e-10,3.30395637617355e-06
0.0120974755495609,0.0122208587215072,16.4954472954032,58.3713782320295,7.52486573672301e-05,0.000139655904894151,-1.09777089793305e-10,1.17903730378644e-06
0.0469286485161757,0.0927433081908446,83.1360955339511,47.1634666676259,0.000113232122466317,0.000104356909755681,-4.75885323671001e-11,2.31791547128632e-06
