gamma1,lambda1,delta,epsilon,NRow,NCol,FValue,W1
0.0159770447031095,0.0156365029195168,90.3058251787597,29.040493016349,0.00074448429131562,0.000273845318417325,2.35722178585342e-11,8.33252342645397e-08
0.000103123659791159,0.0145931478846993,79.2276054671561,30.8961854539767,0.00347968513209236,0.00014024665101173,1.10453170248983e-08,3.74208153208716e-06
0.00856823657916407,0.0737356727683842,39.8365034651622,59.9881196289705,0.00363707214487647,0.00117718748169442,-2.55747207195556e-09,7.79318414886866e-07
0.000603215528655695,0.0220428945697058,73.5275985276598,87.2435590524148,0.000476633941149051,0.00366487815225769,-6.50330057127033e-09,7.15159243717967e-08
0.000598277289977954,0.0106846846714994,22.9917997366616,89.9714733412073,0.000581144598465622,0.00144856439439688,-1.91886668893152e-09,2.45534526493771e-07
0.0033626769440848,0.0157140992306966,73.4099185368659,82.9056882671306,0.000729991634316476,0.00185764536562758,-4.0207456536556e-09,3.80771716945708e-09
0.000759116895621338,0.0807362607504787,30.5393845406069,55.0048681599628,0.00299741729392589,0.0026626556498381,-4.47087708420925e-09,7.82742127488135e-08
0.000843699581955349,0.0124950102372288,95.2003678921408,26.692074729428,0.00176673950294059,0.0038727057352857,-1.85184432296291e-09,2.2189006687106e-09
0.00169307903938629,0.0132773212408539,47.6853828313285,84.0059434794293,0.00410177997871757,0.000538998599889363,-5.87863883563171e-11,6.47247494204452e-07
0.00675171317381333,0.0377032903277649,45.8642316438374,12.6150792869691,0.00408440441594057,0.00491058165381055,-1.15312580115168e-08,3.40616056793241e-07
0.0380670024411742,0.0411789623630613,65.7907704197206,93.8715457608233,0.00187566479315089,0.00114066993154679,-2.93020481189466e-09,2.75681690225606e-12
0.0011717455993757,0.040429203355085,75.9070167284704,65.5425482126421,0.00242985613885392,0.00295433585502,-5.39582805748793e-09,5.73674549920262e-09
0.000959234007976935,0.0745966406240566,67.9066505870128,31.9608530997004,0.00154794196292362,0.00306829895375257,-3.08872986413656e-09,3.59657113939218e-07
0.000109486634868587,0.0130359018160046,69.4841983963644,27.5269197563793,0.00472092029823595,0.000904649939901283,1.39950182410042e-08,3.42691273329628e-06
0.000225250940184738,0.0262435995887151,44.0872443969994,66.9283004714263,0.00158425717299661,0.00445887195607408,-5.06389748925868e-09,2.85939099219898e-07
0.0372723015881064,0.0165443923522657,64.8694550987622,22.5691059521821,0.00262651405488322,0.00284494596553427,-7.41519545597335e-09,1.54833882117164e-09
0.0338082090820766,0.0316711534930531,88.4852965165386,90.6286965989074,0.000973288211921982,0.0046606199373754,-1.31329354473899e-08,2.40910907805966e-13
0.0221025737217212,0.0100631304091036,60.9583669410148,22.5191546480583,0.000686755060280674,0.00423664202824916,-1.11657609475363e-08,6.29086667677908e-10
0.00434712062775559,0.0338935376507507,24.5276573926094,49.5490206915145,0.00168804517071225,0.00192244066497246,-4.24508668160964e-09,4.83345904981361e-09
0.000219000164334206,0.0490958708954761,30.7387253408653,64.9102044982163,0.00293622607181098,0.00229118511954804,-3.83009568929093e-10,4.5306036114453e-07
0.00406879721677619,0.0116004276390652,48.7266302049273,72.5798019406459,0.00146328590633895,0.00232111701587704,-5.44222901921521e-09,2.08210438946605e-10
0.000130740084189116,0.0755033061308817,58.6171170952831,89.1264383870015,0.00201412896467436,0.00380571212182396,6.68128397670573e-10,6.26980159378576e-07
0.00118872724125557,0.0215530912521205,27.3639506502489,87.8826016017642,0.000203826693278433,0.00364356832525444,-8.45061305574209e-09,1.76457409408466e-08
0.0209198978608804,0.0167735596549892,86.8981769755543,86.3176716029299,0.000545149121869757,0.00280227447783727,-7.54683117614492e-09,6.82743049092556e-11
0.000298071821775497,0.0710903621788496,39.6964858126016,35.6939068178279,0.00194684620711202,0.00386774953271318,-1.83896438827514e-09,1.72460398837799e-06
0.00493768405627248,0.0185640066080474,89.7318419497233,28.2404037572489,0.00402812058070612,0.000714268914753948,-9.06279196567127e-11,9.87023407031038e-07
0.0193639080826074,0.0512833453946597,47.0503424472832,73.5463950322016,0.0018684465155363,0.00174364084959667,-4.457975641584e-09,3.01396673411795e-11
0.000139802260428873,0.0181610803158265,33.2952515958556,27.8297107319024,0.000266928194286243,0.000297394475398984,4.59366321991732e-11,2.45147135811039e-06
0.00244241736377427,0.0228644861215545,89.768628341411,84.8445795516588,0.00258124507166713,0.000114699150716582,1.03192789448598e-09,2.34734871524609e-07
0.000150119045982084,0.0101861461584472,73.5220196866248,57.1593643818223,0.00366169065037316,0.0023559825132901,8.13842602119357e-09,2.57953096553415e-06
